----------------------------------------------------------
----------------------------------------------------------
Confusion Matrix:
----------------------------------------------------------
 a  b  c  d  e  f  g  h  i  j  k  l  m  n  o  p  q  r  s  t 	<--Classified as
 96  7  15  3  5  4  2  0  2  0  2  3  3  6  3  1  5  4  2  2 	|	165	a	=user
 0  68  27  5  0  3  3  7  4  0  0  0  4  2  3  1  0  5  16  1 	|	149	b	=error
 0  0  66  3  1  4  6  4  5  2  1  2  4  1  2  2  1  6  8  2 	|	120	c	=when
 0  0  0  59  1  1  3  0  3  1  4  2  0  4  2  3  4  1  0  1 	|	89	d	=report
 0  0  0  0  52  1  2  1  3  3  0  0  0  1  1  2  2  1  1  4 	|	74	e	=issue
 0  0  0  0  0  52  4  3  4  5  3  3  8  1  0  1  0  2  0  0 	|	86	f	=re
 0  0  0  0  0  0  49  1  1  4  1  1  2  3  3  1  2  4  1  1 	|	74	g	=course
 0  0  0  0  0  0  0  49  1  0  5  5  0  2  0  0  1  1  2  1 	|	67	h	=exam
 0  0  0  0  0  0  0  0  49  8  1  1  3  4  2  7  0  2  1  2 	|	80	i	=learning
 0  0  0  0  0  0  0  0  0  42  2  1  9  0  5  5  2  2  0  1 	|	69	j	=program
 0  0  0  0  0  0  0  0  0  0  42  31  1  2  2  3  2  0  0  3 	|	86	k	=ref
 0  0  0  0  0  0  0  0  0  0  0  39  2  2  2  3  2  0  0  3 	|	53	l	=impl
 0  0  0  0  0  0  0  0  0  0  0  0  37  2  2  1  2  3  3  3 	|	53	m	=enrollment
 0  0  0  0  0  0  0  0  0  0  0  0  0  35  3  1  3  5  3  1 	|	51	n	=from
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  33  3  0  2  2  1 	|	41	o	=session
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  32  0  1  0  0 	|	33	p	=module
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  32  0  0  1 	|	33	q	=records
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  32  3  0 	|	35	r	=tcc
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  30  0 	|	30	s	=ekp
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  30 	|	30	t	=page


*** accuracy rate =1;error rate =0
